,Open,High,Low,Close,Volume
2024-06-12,90.4,90.86,88.66,90.26,1314492
2024-06-11,91.34,91.36,90.44,91.12,774169
2024-06-10,90.6,91.3,89.8,91.3,923388
2024-06-07,91.3,91.54,90.2,91.18,702679
2024-06-06,91.76,92.32,91.22,91.5,719728
2024-06-05,92.36,92.62,91.42,91.42,1017525
2024-06-04,93.14,93.14,91.4,92.04,774662
2024-06-03,93.72,94.44,93.24,93.26,981704
2024-05-31,92.64,93.2,92.3,93.18,2493881
2024-05-30,91.5,93.06,91.32,92.6,600967
2024-05-29,93.26,93.56,91.56,91.82,1067837
2024-05-28,93.86,94.12,93.36,93.8,663217
2024-05-27,93.1,93.84,92.82,93.7,507582
2024-05-24,92.34,93.18,91.96,92.84,716120
2024-05-23,93.22,94.04,92.64,92.72,751271
2024-05-22,93.1,93.42,92.06,93.2,1427343
2024-05-21,94.24,94.98,94.0,94.82,1224417
2024-05-20,96.34,96.34,94.58,95.0,1055527
2024-05-17,96.38,96.68,95.96,96.02,1305355
2024-05-16,97.0,97.84,96.46,96.46,1877795
2024-05-15,104.35,104.5,102.35,102.9,1339685
2024-05-14,103.4,104.65,103.4,103.75,1015095
2024-05-13,102.15,103.3,101.3,102.95,1178077
2024-05-10,102.4,102.65,100.85,101.6,1105274
2024-05-09,101.0,101.95,100.1,101.65,750970
2024-05-08,101.6,101.9,98.56,101.15,2192149
2024-05-07,103.55,104.2,102.65,104.2,1024845
2024-05-06,102.9,103.8,102.6,103.05,551350
2024-05-03,102.55,103.25,101.85,102.5,703362
2024-05-02,102.35,103.0,101.05,101.95,1082967
2024-04-30,106.3,106.6,101.75,102.45,1986847
2024-04-29,107.0,107.8,106.65,106.8,630451
2024-04-26,105.8,107.1,105.35,106.4,667469
2024-04-25,106.75,107.0,104.3,105.05,854946
2024-04-24,106.4,107.3,105.75,106.55,919549
2024-04-23,106.35,106.9,105.05,106.45,946389
2024-04-22,106.6,107.3,105.5,105.85,635536
2024-04-19,105.3,106.5,104.6,105.85,1031130
2024-04-18,106.05,107.45,105.95,106.95,622171
2024-04-17,106.4,107.25,105.7,105.95,664955
2024-04-16,107.9,108.0,105.6,106.45,1357333
2024-04-15,109.9,111.75,109.55,109.7,1018111
2024-04-12,112.5,112.6,108.65,109.5,1275147
2024-04-11,111.5,112.45,110.6,111.9,1090825
2024-04-10,114.65,115.35,111.35,111.5,1251336
2024-04-09,114.15,114.8,113.45,113.85,763287
2024-04-08,113.2,114.75,112.75,114.75,827527
2024-04-05,112.8,113.55,111.9,112.5,1144372
2024-04-04,111.9,115.25,111.75,114.7,1788276
2024-04-03,106.95,111.95,106.6,111.85,1830218
2024-04-02,107.2,107.8,105.8,106.65,1084212
2024-03-28,106.34,107.18,106.34,106.96,785748
2024-03-27,105.5,106.52,104.66,106.16,816350
2024-03-26,106.6,106.76,105.54,106.56,758874
2024-03-25,104.4,106.24,104.4,106.24,1063860
2024-03-22,103.92,104.62,102.84,104.12,1303067
2024-03-21,107.0,107.1,104.38,104.8,1509736
2024-03-20,107.08,107.34,105.68,106.36,704215
2024-03-19,106.2,107.4,105.98,107.12,864978
2024-03-18,106.1,107.22,104.86,105.98,760275
2024-03-15,105.4,107.3,104.88,105.68,2678229
2024-03-14,108.46,110.42,104.9,105.2,1989797
2024-03-13,110.0,110.36,108.5,108.5,893552
2024-03-12,106.9,110.22,106.64,109.78,1364736
2024-03-11,106.62,107.3,106.12,106.88,778385
2024-03-08,107.14,107.84,106.48,107.14,773833
2024-03-07,107.04,107.48,106.06,106.96,974767
2024-03-06,109.3,109.5,107.38,107.7,1049231
2024-03-05,109.72,109.72,107.84,109.36,661444
2024-03-04,109.44,109.98,109.0,109.94,625518
2024-03-01,109.98,110.96,107.68,109.8,1121078
2024-02-29,109.5,110.32,109.0,109.22,1382952
2024-02-28,108.0,109.16,107.62,109.16,757828
2024-02-27,107.64,108.82,107.42,107.68,699541
2024-02-26,107.0,107.74,106.22,107.48,824691
2024-02-23,105.3,107.36,105.18,106.72,840751
2024-02-22,105.0,107.08,104.98,105.08,1062045
2024-02-21,102.34,104.38,101.88,104.3,964222
2024-02-20,102.66,103.16,101.32,101.82,700053
2024-02-19,104.12,104.38,102.72,102.82,518613
2024-02-16,103.26,104.44,103.14,104.1,965446
2024-02-15,102.12,102.98,101.82,102.62,773186
2024-02-14,100.28,101.48,100.26,101.16,577490
2024-02-13,102.32,102.58,100.56,100.88,719165
2024-02-12,102.4,103.0,101.82,102.14,483485
2024-02-09,102.38,103.26,101.84,102.0,867292
2024-02-08,99.63,102.36,99.45,101.96,1127135
2024-02-07,98.1,99.97,98.04,99.14,1104844
2024-02-06,97.42,97.85,96.5,97.56,745693
2024-02-05,98.37,98.47,96.06,96.57,762917
2024-02-02,97.95,98.89,97.64,97.98,916523
2024-02-01,96.18,98.02,95.82,97.03,875674
2024-01-31,95.03,96.85,94.81,96.78,1130835
2024-01-30,95.5,96.28,94.48,95.0,775385
2024-01-29,94.41,94.91,93.48,94.91,653023
2024-01-26,93.7,95.02,93.53,94.77,1021980
