Date,Last Price,Strike,Bid,Ask,Volume,Open Interest
2024-06-21,186.82,5.0,207.1,208.0,51,82
2024-06-21,171.61,10.0,162.8,163.75,2,2
2024-06-21,156.73,15.0,153.25,155.0,1,1
2024-06-21,162.22,20.0,165.4,167.45,2,1
2024-06-21,169.65,25.0,157.05,158.65,2,143
2024-06-21,163.92,30.0,182.1,183.05,1,1
2024-06-21,142.2,35.0,129.2,131.0,5,588
2024-06-21,150.2,40.0,172.1,173.05,11,343
2024-06-21,155.0,50.0,162.2,163.95,2,999
2024-06-21,158.71,55.0,157.15,158.05,1,1026
2024-06-21,152.5,60.0,152.15,153.05,6,860
2024-06-21,148.9,65.0,147.15,148.05,4,1366
2024-06-21,134.95,70.0,142.15,143.05,2,838
2024-06-21,137.29,75.0,137.15,138.65,1,1618
2024-06-21,133.59,80.0,132.15,133.1,1,601
2024-06-21,127.23,85.0,127.15,128.1,6,871
2024-06-21,122.0,90.0,121.25,124.0,11,1156
2024-06-21,101.7,95.0,117.2,118.15,4,1995
2024-06-21,112.02,100.0,112.25,113.05,11,5379
2024-06-21,90.1,105.0,107.2,108.1,1,312
2024-06-21,99.0,110.0,102.2,103.1,1,3056
2024-06-21,99.94,115.0,97.2,98.15,20,1436
2024-06-21,93.74,120.0,92.2,93.1,14,5864
2024-06-21,87.27,125.0,87.2,88.15,2,1462
2024-06-21,81.6,130.0,82.2,83.15,65,3872
2024-06-21,77.73,135.0,77.25,78.15,8,3627
2024-06-21,72.3,140.0,72.25,73.15,23,2833
2024-06-21,67.0,145.0,67.25,68.1,32,4245
2024-06-21,62.1,150.0,62.25,63.15,40,11015
2024-06-21,57.59,155.0,57.25,58.2,10,4170
2024-06-21,52.45,160.0,52.25,52.85,30,12175
2024-06-21,47.69,165.0,47.3,48.15,96,6285
2024-06-21,45.03,167.5,44.75,45.7,39,58
2024-06-21,42.7,170.0,42.3,43.2,143,28905
2024-06-21,41.59,172.5,39.75,40.7,2,85
2024-06-21,37.42,175.0,37.3,38.2,289,29744
2024-06-21,35.2,177.5,34.8,35.7,37,120
2024-06-21,32.88,180.0,32.3,33.15,625,40710
2024-06-21,30.18,182.5,29.85,30.75,166,2673
2024-06-21,27.37,185.0,27.35,28.0,1840,42950
2024-06-21,24.75,187.5,24.85,25.7,128,1939
2024-06-21,22.84,190.0,22.3,22.9,2042,47938
2024-06-21,20.09,192.5,19.85,21.95,218,5901
2024-06-21,17.85,195.0,17.45,18.0,5171,40965
2024-06-21,15.3,197.5,14.9,15.6,807,11365
2024-06-21,12.85,200.0,12.85,13.0,12150,55059
2024-06-21,10.45,202.5,10.4,10.8,1121,14618
2024-06-21,8.18,205.0,8.1,8.35,10332,29264
2024-06-21,6.07,207.5,6.0,6.2,3087,21565
2024-06-21,4.26,210.0,4.05,4.3,11233,45048
2024-06-21,2.74,212.5,2.7,2.77,31357,10810
2024-06-21,1.69,215.0,1.68,1.72,62548,31846
2024-06-21,0.98,217.5,0.97,1.01,28644,20059
2024-06-21,0.59,220.0,0.55,0.59,68687,61038
2024-06-21,0.33,222.5,0.32,0.34,11318,8295
2024-06-21,0.21,225.0,0.21,0.22,21108,42099
2024-06-21,0.16,227.5,0.14,0.16,2504,5507
2024-06-21,0.12,230.0,0.1,0.12,17313,29636
2024-06-21,0.09,232.5,0.08,0.09,3977,3655
2024-06-21,0.08,235.0,0.07,0.08,3337,17204
2024-06-21,0.05,240.0,0.05,0.06,5355,26023
2024-06-21,0.04,245.0,0.03,0.04,2871,21985
2024-06-21,0.03,250.0,0.01,0.06,5856,9970
2024-06-21,0.03,255.0,0.01,0.04,1221,5206
2024-06-21,0.02,260.0,0.01,0.06,1239,7657
2024-06-21,0.02,265.0,0.01,0.02,782,2606
2024-06-21,0.01,270.0,0.0,0.01,196,9862
2024-06-21,0.01,275.0,0.0,0.01,39,3049
2024-06-21,0.02,280.0,0.0,0.02,321,9558
2024-06-21,0.01,285.0,0.0,0.01,483,7479
2024-06-21,0.01,290.0,0.0,0.01,1126,5824
2024-06-21,0.01,300.0,0.0,0.01,7,10359
2024-06-21,0.01,310.0,0.0,0.01,2,2672
2024-06-21,0.01,320.0,0.0,0.01,3,18224
