Expiry,Strike,Last Price,Bid,Ask,Volume,Open Interest,Time_to_Maturity,Option_Price
2024-06-21,5.0,167.8,171.5,173.1,1.0,2,0.013689253935660506,167.8
2024-06-21,25.0,132.08,151.0,151.8,,8,0.013689253935660506,132.08
2024-06-21,35.0,112.23,120.15,122.5,2.0,1,0.013689253935660506,112.23
2024-06-21,40.0,136.6,136.55,138.15,1.0,0,0.013689253935660506,136.6
2024-06-21,45.0,125.45,131.55,133.15,7.0,3,0.013689253935660506,125.45
2024-06-21,50.0,126.5,126.55,128.15,1.0,11,0.013689253935660506,126.5
2024-06-21,55.0,121.15,120.6,122.2,2.0,24,0.013689253935660506,121.15
2024-06-21,56.0,94.5,116.1,116.95,2.0,235,0.013689253935660506,94.5
2024-06-21,57.0,117.7,119.55,120.2,1.0,0,0.013689253935660506,117.7
2024-06-21,58.0,79.45,75.65,76.85,1.0,118,0.013689253935660506,79.45
2024-06-21,59.0,89.3,76.75,78.35,1.0,119,0.013689253935660506,89.3
2024-06-21,60.0,116.55,116.55,117.2,1.0,34,0.013689253935660506,116.55
2024-06-21,61.0,92.1,104.1,104.65,1.0,38,0.013689253935660506,92.1
2024-06-21,62.0,71.25,68.8,73.5,1.0,56,0.013689253935660506,71.25
2024-06-21,62.5,112.2,113.1,114.7,1.0,0,0.013689253935660506,112.2
2024-06-21,63.0,112.0,112.6,114.2,1.0,0,0.013689253935660506,112.0
2024-06-21,64.0,43.0,42.5,46.9,1.0,161,0.013689253935660506,43.0
2024-06-21,65.0,111.5,110.6,112.2,1.0,4,0.013689253935660506,111.5
2024-06-21,66.0,110.75,109.6,111.2,19.0,0,0.013689253935660506,110.75
2024-06-21,67.0,105.43,107.75,108.45,1.0,126,0.013689253935660506,105.43
2024-06-21,67.5,59.67,63.5,68.5,1.0,34,0.013689253935660506,59.67
2024-06-21,68.0,83.56,103.75,105.15,5.0,44,0.013689253935660506,83.56
2024-06-21,69.0,60.25,58.0,63.0,16.0,68,0.013689253935660506,60.25
2024-06-21,70.0,106.05,105.6,107.2,1.0,14,0.013689253935660506,106.05
2024-06-21,71.0,103.7,104.6,106.2,61.0,0,0.013689253935660506,103.7
2024-06-21,72.0,104.25,103.6,105.2,10.0,0,0.013689253935660506,104.25
2024-06-21,72.5,71.02,77.4,80.15,1.0,0,0.013689253935660506,71.02
2024-06-21,73.0,103.2,102.6,104.2,8.0,0,0.013689253935660506,103.2
2024-06-21,74.0,81.0,101.9,102.45,4.0,139,0.013689253935660506,81.0
2024-06-21,75.0,105.0,100.6,102.2,10.0,85,0.013689253935660506,105.0
2024-06-21,76.0,99.91,99.6,101.2,4.0,0,0.013689253935660506,99.91
2024-06-21,77.0,94.75,98.6,100.2,1.0,0,0.013689253935660506,94.75
2024-06-21,77.5,51.21,55.05,60.0,66.0,79,0.013689253935660506,51.21
2024-06-21,78.0,50.8,54.55,59.5,48.0,161,0.013689253935660506,50.8
2024-06-21,79.0,68.0,57.05,58.7,1.0,179,0.013689253935660506,68.0
2024-06-21,80.0,97.5,96.6,97.2,6.0,20,0.013689253935660506,97.5
2024-06-21,81.0,61.12,65.65,69.5,43.0,303,0.013689253935660506,61.12
2024-06-21,82.0,63.45,58.5,61.75,40.0,17,0.013689253935660506,63.45
2024-06-21,82.5,41.83,52.0,57.0,1.0,31,0.013689253935660506,41.83
2024-06-21,83.0,55.1,49.75,54.05,1.0,50,0.013689253935660506,55.1
2024-06-21,84.0,59.95,56.85,60.25,1.0,272,0.013689253935660506,59.95
2024-06-21,85.0,91.41,91.6,93.2,2.0,8,0.013689253935660506,91.41
2024-06-21,86.0,65.5,58.1,61.2,4.0,178,0.013689253935660506,65.5
2024-06-21,87.0,87.86,89.6,91.2,20.0,45,0.013689253935660506,87.86
2024-06-21,87.5,87.2,88.15,90.7,1.0,21,0.013689253935660506,87.2
2024-06-21,88.0,60.82,65.7,69.05,1.0,75,0.013689253935660506,60.82
2024-06-21,89.0,50.48,51.55,53.15,4.0,113,0.013689253935660506,50.48
2024-06-21,90.0,86.15,86.6,88.2,2.0,269,0.013689253935660506,86.15
2024-06-21,91.0,44.29,63.8,65.7,2.0,311,0.013689253935660506,44.29
2024-06-21,92.0,78.2,84.6,86.2,1.0,197,0.013689253935660506,78.2
2024-06-21,92.5,82.55,83.2,85.7,10.0,144,0.013689253935660506,82.55
2024-06-21,93.0,82.07,83.6,85.2,10.0,563,0.013689253935660506,82.07
2024-06-21,94.0,77.7,81.65,84.2,1.0,104,0.013689253935660506,77.7
2024-06-21,95.0,81.23,81.6,83.2,5.0,352,0.013689253935660506,81.23
2024-06-21,96.0,59.35,78.4,81.4,1.0,418,0.013689253935660506,59.35
2024-06-21,97.0,75.87,79.6,81.2,5.0,459,0.013689253935660506,75.87
2024-06-21,97.5,79.8,78.15,79.75,1.0,397,0.013689253935660506,79.8
2024-06-21,98.0,76.1,77.65,79.25,1.0,486,0.013689253935660506,76.1
2024-06-21,99.0,77.44,76.65,78.25,1.0,155,0.013689253935660506,77.44
2024-06-21,100.0,76.7,75.65,78.05,12.0,1612,0.013689253935660506,76.7
2024-06-21,102.5,73.67,73.15,74.75,5.0,659,0.013689253935660506,73.67
2024-06-21,105.0,71.55,71.6,72.25,6.0,2621,0.013689253935660506,71.55
2024-06-21,107.5,69.2,68.15,69.75,2.0,730,0.013689253935660506,69.2
2024-06-21,110.0,66.6,65.65,67.25,1.0,3344,0.013689253935660506,66.6
2024-06-21,112.5,64.1,63.15,64.75,1.0,947,0.013689253935660506,64.1
2024-06-21,115.0,61.74,60.65,62.25,5.0,1907,0.013689253935660506,61.74
2024-06-21,117.5,60.0,58.15,59.75,4.0,5534,0.013689253935660506,60.0
2024-06-21,120.0,56.69,55.65,57.25,130.0,7520,0.013689253935660506,56.69
2024-06-21,122.5,51.8,53.15,54.75,1.0,3209,0.013689253935660506,51.8
2024-06-21,125.0,51.24,50.65,52.25,97.0,5451,0.013689253935660506,51.24
2024-06-21,127.5,49.4,49.15,49.75,1.0,2732,0.013689253935660506,49.4
2024-06-21,130.0,46.34,46.65,47.3,91.0,6513,0.013689253935660506,46.34
2024-06-21,132.5,43.0,44.15,45.75,4.0,2727,0.013689253935660506,43.0
