Expiry,Strike,Last Price,Bid,Ask,Volume,Open Interest,Time_to_Maturity,Option_Price,Log_Return,Volatility
2024-06-21,69.0,60.25,58.0,63.0,16.0,68,0.0136892539356605,60.25,-0.3270623643176007,6.356978895388217
2024-06-21,70.0,106.05,105.6,107.2,1.0,14,0.0136892539356605,106.05,0.5654081086399271,6.559597295994604
2024-06-21,71.0,103.7,104.6,106.2,61.0,0,0.0136892539356605,103.7,-0.02240856577520976,6.519544705454276
2024-06-21,72.0,104.25,103.6,105.2,10.0,0,0.0136892539356605,104.25,0.005289745443429184,6.514480600724456
2024-06-21,72.5,71.02,77.4,80.15,1.0,0,0.0136892539356605,71.02,-0.38383033316396914,6.641874361962026
2024-06-21,73.0,103.2,102.6,104.2,8.0,0,0.0136892539356605,103.2,0.3737073255325206,6.784922198655126
2024-06-21,74.0,81.0,101.9,102.45,4.0,139,0.0136892539356605,81.0,-0.24221969837502366,6.782178873925795
2024-06-21,75.0,105.0,100.6,102.2,10.0,85,0.0136892539356605,105.0,0.2595111954850846,6.800416027847828
2024-06-21,76.0,99.91,99.6,101.2,4.0,0,0.0136892539356605,99.91,-0.04969056941259624,6.656344371421137
2024-06-21,77.0,94.75,98.6,100.2,1.0,0,0.0136892539356605,94.75,-0.05302793678239149,6.648280992526203
2024-06-21,77.5,51.21,55.05,60.0,66.0,79,0.0136892539356605,51.21,-0.6153070184880767,6.904540897140847
2024-06-21,78.0,50.8,54.55,59.5,48.0,161,0.0136892539356605,50.8,-0.008038470890022856,6.867926539916233
2024-06-21,79.0,68.0,57.05,58.7,1.0,179,0.0136892539356605,68.0,0.29161135059167054,6.900784613264711
2024-06-21,80.0,97.5,96.6,97.2,6.0,20,0.0136892539356605,97.5,0.3603446728276948,6.829957651877438
2024-06-21,81.0,61.12,65.65,69.5,43.0,303,0.0136892539356605,61.12,-0.4670132331455364,7.013422615721204
2024-06-21,82.0,63.45,58.5,61.75,40.0,17,0.0136892539356605,63.45,0.03741304930213167,6.1472032128474305
2024-06-21,82.5,41.83,52.0,57.0,1.0,31,0.0136892539356605,41.83,-0.4166384087062897,5.296242620004181
2024-06-21,83.0,55.1,49.75,54.05,1.0,50,0.0136892539356605,55.1,0.27553593070476173,5.412069851645023
2024-06-21,84.0,59.95,56.85,60.25,1.0,272,0.0136892539356605,59.95,0.08436116531465442,5.426863158398225
